COMMAND,COMMAND_PATH,TYPE,COMMAND_GROUP,ARGUMENT,ALIAS,MULTIPLE_USE,PARAMETER,MULTIPLE_PARAMETER,TOOLTIP
conda,conda,COMMAND,Command,clean,,FALSE,,,Remove unused packages and caches.
conda,conda,COMMAND,Command,compare,,FALSE,,,Compare packages between conda environments.
conda,conda,COMMAND,Command,config,,FALSE,,,Modify configuration values in .condarc. This is modeled
conda,conda,COMMAND,Command,create,,FALSE,,,Create a new conda environment from a list of specified packages.
conda,conda,COMMAND,Command,env,,FALSE,,,Manage environments.
conda,conda,COMMAND,Command,help,,FALSE,,,Displays a list of available conda commands and their help strings.
conda,conda,COMMAND,Command,info,,FALSE,,,Display information about current conda install.
conda,conda,COMMAND,Command,init,,FALSE,,,EXPERIMENTAL. Initialize conda for shell interaction.
conda,conda,COMMAND,Command,install,,FALSE,,,Installs a list of packages into a specified conda environment.
conda,conda,COMMAND,Command,list,,FALSE,,,List linked packages in a conda environment.
conda,conda,COMMAND,Command,package,,FALSE,,,EXPERIMENTAL. Low-level conda package utility.
conda,conda,COMMAND,Command,remove,uninstall,FALSE,,,Remove a list of packages from a specified conda environment.
conda,conda,COMMAND,Command,run,,FALSE,,,Run an executable in a conda environment.
conda,conda,COMMAND,Command,search,,FALSE,,,Search for packages and display associated information.
conda,conda,COMMAND,Command,update,Upgrade,FALSE,,,Updates conda packages to the latest compatible version.
conda,conda,ARGUMENT,Optional arguments,--help,-h,FALSE,,,Show this help message and exit.
conda,conda,ARGUMENT,Optional arguments,--version,-V,FALSE,,,Show the conda version number and exit.
clean,conda.clean,OPTION,Optional arguments,--help,-h,FALSE,,,Show this help message and exit.
clean,conda.clean,OPTION,Removal Targets,--all,-a,FALSE,,,"Remove index cache, lock files, unused cache packages, and tarballs."
clean,conda.clean,OPTION,Removal Targets,--index-cache,-i,FALSE,,,Remove index cache.
clean,conda.clean,OPTION,Removal Targets,--packages,-p,FALSE,,,Remove unused packages from writable package caches.
clean,conda.clean,OPTION,Removal Targets,--tarballs,-t,FALSE,,,Remove cached package tarballs.
clean,conda.clean,OPTION,Removal Targets,--force-pkgs-dirs,-f,FALSE,,,Remove all writable package caches.
clean,conda.clean,PARAMETER,Removal Targets,--tempfiles,-c,FALSE,TEMPFILES,TRUE,Remove temporary files that could not be deleted earlier due to being in-use. 
clean,conda.clean,OPTION,"Output, Prompt, and Flow Control Options",--dry-run,-d,FALSE,,,Only display what would have been done.
clean,conda.clean,OPTION,"Output, Prompt, and Flow Control Options",--json,,FALSE,,,Report all output as json.
clean,conda.clean,OPTION,"Output, Prompt, and Flow Control Options",--quiet,-q,FALSE,,,Do not display progress bar.
clean,conda.clean,OPTION,"Output, Prompt, and Flow Control Options",--verbose,-v,TRUE,,,"Use once for INFO, twice for DEBUG, three times for TRACE"
clean,conda.clean,OPTION,"Output, Prompt, and Flow Control Options",--yes,-y,FALSE,,,Do not ask for confirmation.
Compare,conda.compare,POSITIONAL,positional arguments,,,FALSE,FILE,FALSE,Path to the environment file that is to be compared against.
Compare,conda.compare,OPTION,Optional arguments,--help,-h,FALSE,,,Show this help message and exit.
Compare,conda.compare,OPTION,"Output, Prompt, and Flow Control Options",--json,,FALSE,,,Report all output as json.
Compare,conda.compare,OPTION,"Output, Prompt, and Flow Control Options",--quiet,-q,FALSE,,,Do not display progress bar.
Compare,conda.compare,PARAMETER,Target Environment Specification,--name,-n,FALSE,ENVIRONMENT,FALSE,Name of environment.
Compare,conda.compare,PARAMETER,Target Environment Specification,--prefix,-p,FALSE,PATH,FALSE,Full path to environment location.
Config,conda.config,OPTION,Optional arguments,--help,-h,FALSE,,,Show this help message and exit.
Config,conda.config,OPTION,"Output, Prompt, and Flow Control Options",--json,,FALSE,,,Report all output as json.
Config,conda.config,OPTION,"Output, Prompt, and Flow Control Options",--verbose,-v,TRUE,,,"Use once for INFO, twice for DEBUG, three times for TRACE"
Config,conda.config,OPTION,"Output, Prompt, and Flow Control Options",--quiet,-q,FALSE,,,Do not display progress bar.
Config,conda.config,OPTION,Config File Location Selection,--system,,FALSE,,,Write to the system .condarc file at
Config,conda.config,OPTION,Config File Location Selection,--env,,FALSE,,,Write to the active conda environment .condarc file
Config,conda.config,PARAMETER,Config File Location Selection,--file,,FALSE, FILE,FALSE,Write to the given file.
Config,conda.config,PARAMETER,Config SubCommands,--show,,FALSE,SHOW,TRUE,Display configuration values as calculated and compiled. 
Config,conda.config,OPTION,Config SubCommands,--show-sources,,FALSE,,,Display all identified configuration sources.
Config,conda.config,OPTION,Config SubCommands,--validate,,FALSE,,,Validate all configuration sources.
Config,conda.config,PARAMETER,Config SubCommands,--describe,,FALSE,DESCRIBE,TRUE,Describe given configuration parameters.
Config,conda.config,OPTION,Config SubCommands,--write-default,,FALSE,,,Write the default configuration to a file.
